radionuclide,best_key_nuclide_sf,p25_Bi-207,p50_Bi-207,p75_Bi-207,corr_Bi-207,p25_Co-60,p50_Co-60,p75_Co-60,corr_Co-60,linreg_intercept_sf,linreg_coef_Bi-207,linreg_coef_Co-60,linreg_adj_R2_sf,logreg_const_sf,logreg_power_Bi-207,logreg_power_Co-60,logreg_adj_R2_sf,p25_DR_10cm,p50_DR_10cm,p75_DR_10cm,corr_DR_10cm,p25_DR_40cm,p50_DR_40cm,p75_DR_40cm,corr_DR_40cm,p25_bgo_10cm,p50_bgo_10cm,p75_bgo_10cm,corr_bgo_10cm,p25_bgo_40cm,p50_bgo_40cm,p75_bgo_40cm,corr_bgo_40cm,logreg_const_DR_10cm,logreg_power_DR_10cm,logreg_const_DR_40cm,logreg_power_DR_40cm,logreg_adj_R2_DR,logreg_const_bgo_10cm,logreg_power_bgo_10cm,logreg_const_bgo_40cm,logreg_power_bgo_40cm,logreg_adj_R2_bgo
C-14,Co-60,0.08184003853271801,0.13999896825644859,0.23769900285421158,0.8320890446799369,0.00019662633635549146,0.0003406539417893081,0.0005885890252532182,0.9715597679121546,-0.0009766565113704532,-0.00013922940434393983,0.00045414664876099913,0.9448671445104976,0.00959720978628899,0.42933728803768445,0.3065451206432467,0.7228020493394055,0.0003017049916050306,0.00047595413679944504,0.0008230528912872323,0.9574219133654672,0.0008400446173676636,0.0013238316339146115,0.0022895849518898663,0.957896894503386,1.0610807217680416e-06,1.8702819579948578e-06,3.89400060108177e-06,0.8779400252422759,2.9483944991747434e-06,5.207656644419845e-06,1.0838413960487518e-05,0.8788045251707266,0.0007625853790161426,0.8324287706818279,0.0017868745106648701,0.8325753090564315,0.6268843569799465,3.428327561920433e-05,0.6508781127874873,6.676193260530692e-05,0.6508106955811351,0.43822098491118155
Ca-41,Co-60,0.004095699980555185,0.005862776992198162,0.00793366896386275,0.734290288270109,5.990783008820166e-06,1.2937513002420187e-05,2.3573695453730424e-05,0.9007569313826277,-0.0003170104406479252,-3.576967565655287e-05,3.6712659735710436e-05,0.8222505936758673,0.0007194990635888552,0.5322340740884643,0.16418372759395677,0.5595790785899438,9.88760845256036e-06,2.037835989206764e-05,3.611539696878211e-05,0.8243698201491961,2.7446542014758835e-05,5.665792587673844e-05,0.00010058691326526189,0.8250627611097361,3.208602747245788e-08,7.874699551639866e-08,1.7353524649530693e-07,0.7320841430792542,8.918239149038872e-08,2.193177962440891e-07,4.832116057166614e-07,0.7331584151171345,3.155007861941113e-05,0.7784592042685645,6.994546945024111e-05,0.7786926987222613,0.3822271007897635,3.4844022097410254e-06,0.5238822406389684,5.957238124460506e-06,0.5238454390210411,0.19783379249668498
Ca-45,Co-60,0.4550936720887372,1.128612521870573,2.5027310311146853,0.0036943648447013097,0.0008549121055958223,0.0022508453292168565,0.004941866858629223,0.18212279493013075,0.14412143117535997,-0.07848982257797474,0.018300309201061054,0.1332176690798469,0.014467265927424948,0.1563652332870457,0.5077387271193516,0.23343096392866203,0.001552313625266294,0.003659645317367551,0.007038008134423107,0.5293478558810734,0.004312612647767117,0.010174333494234133,0.019592947525093978,0.5275559329977285,6.339610970783589e-06,1.5127511794164387e-05,2.692219194372246e-05,0.6869748995720393,1.760946599447394e-05,4.208732093786865e-05,7.499096323147302e-05,0.6852240198021586,0.004384524954505727,0.8601832774537312,0.010585842080294202,0.8594217987452836,0.38579210559859933,4.8098143579819643e-05,0.831451906692912,0.00011323519887110547,0.830692967593323,0.4122418047609925
Cd-109,Co-60,0.03963385708800509,0.07568730890714317,0.12119995430456575,0.0031581128481873804,6.019679646008458e-05,0.0001315076947124353,0.0003218174501786932,0.20459059555870837,0.01566666703149037,-0.019421476933278593,0.004521972411657991,0.1697134539122449,0.003611282687957823,0.4483952900310043,0.37034903855113277,0.3477009582887438,0.00010909062123367054,0.00019111127278763313,0.00044437649876324724,0.5443096921042412,0.0003032493134631844,0.0005332607661658686,0.0012358831895566392,0.5425295825425852,3.7385719822152097e-07,7.776540183886296e-07,1.8276321284017881e-06,0.7021459621220029,1.0382888528370268e-06,2.1632372862767475e-06,5.094085767348151e-06,0.7004285462964506,0.00018166639887273143,1.0546236274001544,0.000534998433437983,1.0540398379375462,0.40802346996895844,2.5550301865938253e-06,0.8652135910672831,6.225330761956353e-06,0.8644833132215511,0.3140013839692113
Cd-113m,Co-60,0.07835005953175925,0.08202440866097532,0.08645816456133643,0.8737308834445354,9.69109089641985e-05,0.00017307443609108572,0.0003294808684196807,0.9784380341876953,-0.0379814882253121,0.0006684552744523854,0.0014336981857181604,0.9590565106321395,0.00747836914212666,0.5673663451125321,0.3262315580849827,0.7529630732752173,0.00017095853426611214,0.00026832886971667885,0.00042998064760100857,0.9311820302917235,0.0004746615996900305,0.0007463950411303762,0.0011972704504350283,0.9318905669271443,5.937262480370092e-07,1.0595687616522745e-06,2.0988506112938578e-06,0.8284349755920081,1.6523706181997458e-06,2.9524977730650153e-06,5.8329175355676614e-06,0.8295237630777627,0.0002532467029623088,1.023415117944043,0.0007214886721104185,1.02354786628085,0.629803638181197,6.375712468768929e-06,0.7841788213613252,1.4237167509875436e-05,0.7840435072013143,0.4227864301665307
Ce-144,Co-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl-36,Co-60,0.007373711012340529,0.02830197723059997,0.07395776679624734,-0.029442579385914484,2.116815479873604e-05,6.543117480836387e-05,0.00014480135875220507,0.16561039993636173,0.0021000339220704697,-5.223216320294321e-05,1.1618328201407338e-05,0.15323854985398833,0.00036045988104115804,0.03950387293916088,0.3671038346373994,0.0577219066754161,3.353402613900711e-05,0.00010090081172147333,0.00021691870997098158,0.18075365278737682,9.318560617381157e-05,0.00028075325349431323,0.0006026737370230411,0.1805070714101076,1.2032734305469209e-07,4.1408191248555805e-07,1.0109645522904337e-06,0.22496400817155884,3.340499454391441e-07,1.1520315724450793e-06,2.81135436419523e-06,0.22488546703266343,0.0003924035532436725,0.34970959177227195,0.000560869171303795,0.35008742872233883,0.04685595244478835,0.00010719196547970379,0.2728116444450831,0.00014145423459398953,0.27306069137668193,0.03241555802673479
Co-57,Co-60,44.30905907007707,103.15587009912637,183.53076177694706,0.14106614017165475,0.1129221238618705,0.21606466103841376,0.4034039031316746,0.38964228331671424,3.966769524374058,-2.048663230170016,0.555644550276335,0.31645010396123563,0.7000074029670721,0.18543143037359405,0.7610660429601392,0.5521598670154654,0.19449953884658602,0.3427140795139382,0.5291492064509661,0.6467423534875274,0.5410494753873399,0.9537930583255695,1.4729494645027945,0.6453804980335812,0.0008779672606903405,0.0013920637356222476,0.0020415253533947264,0.7703832698900359,0.0024391383482834867,0.0038731148251757433,0.005685817491789007,0.7692099560930714,0.25486811511211205,1.0535724789048873,0.7493258659105178,1.053338295856622,0.6963014753567361,0.0011264008943244637,1.0055695610804056,0.003159154377892294,1.0052418681189685,0.7254135354408391
Co-58,Co-60,0.926080431010156,4.29313087940109,15.875301978054692,0.002702822929844147,0.002593250848633745,0.009252794803888971,0.03442503121137505,0.155911047585934,1.047657921716481,-0.22023318695216637,0.051305334183655564,0.09798947367279842,0.00908322072768336,-0.05206393376165251,0.9019051269823366,0.1766965760542859,0.004250128346056509,0.015913374836945906,0.04544537622628362,0.5006171182984124,0.011822022055636695,0.044258646579387134,0.12650658595908254,0.4988638731090236,2.0150139677726737e-05,6.0906069154506194e-05,0.0001794943402642657,0.6568146664147722,5.604629396169346e-05,0.00016922315468230543,0.0004998300869198514,0.6550919327479354,0.012556348837517795,0.9756812094405065,0.034115061334248,0.9749809793719267,0.2726204571157179,2.9217154422157775e-05,1.057918118405903,8.664691832540285e-05,1.0572788571524727,0.3666478470476836
Co-60,Co-60,251.23746143240345,460.6442295955203,773.908323734059,0.8721330632237108,1.0,1.0,1.0,1.0,-1.0658141036401503e-14,-1.6653345369377348e-15,0.9999999999999996,1.0,1.0000000000000016,9.71445146547012e-17,1.0000000000000004,1.0,1.3177835796932775,1.6158546320527387,1.9136375137918353,0.9269335831973452,3.670340499415021,4.495155874879277,5.315753929355134,0.9277273956313351,0.004602601990764095,0.006092421856846542,0.008073856662428752,0.8359926168526007,0.01282027433062002,0.016972503758308104,0.02245028869195722,0.8372675127723427,1.991456908914234,0.8985163962531215,4.9877160936865375,0.8992684066802276,0.9261428927615467,0.026387001138221924,0.8211092215997622,0.060900645149816836,0.8216368123418092,0.8845193178741789
