identifier,counting,library_id,counting_time_s,characterization,volume_m3,mass_t,density_g_cm3,filling,total_activity_Bq_g,true_total_activity_Bq_g,LL,true_LL,IRAS,true_IRAS,bgo_10cm_c_s,true_bgo_10cm_c_s,bgo_40cm_c_s,true_bgo_40cm_c_s,DR_10cm_uSv_h,true_DR_10cm_uSv_h,DR_40cm_uSv_h,true_DR_40cm_uSv_h,Be-7,Ag-108m,Ag-110m,Al-26,Au-194,Ba-133,Ba-137m,Bi-207,Co-57,Co-58,Co-60,Cr-51,Cs-134,Eu-150,Ga-68,Hf-172,K-42,Lu-172,Lu-173,Mn-54,Na-22,Pm-143,Pm-144,Pm-146,Rh-101,Rh-102,Rh-102m,Rh-106,Sb-124,Sb-125,Sc-44,Ti-44,Tl-202,Zn-65
0,3,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7582844994600344,84.89088076299979,109.2278365463476,740.2459811923519,477.347335070977,7.393989493907114,4.808715364203628,13951.185394494032,8947.50882751265,5025.37969315817,3222.99703535452,26.172018651043874,16.785266720522554,9.427466364959932,6.046248840965737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,11.027514435719864,0.8470318016405326,56.5589947217904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1991011446002523,14.18307805011708,1.3443776726632646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0494617308135711,0.0,0.6593212056548128
1,5,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.725232250203789,49.893004799652026,126.81397579273091,464.6380684133314,319.42467319903847,4.646380684133314,3.2755312884996437,4035.311277755682,2670.6645575778084,1452.8453645238872,961.5274648237618,15.573085683138387,10.30663686723356,5.606825295188731,3.710729746905504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382735296140317,3.810219953687654,0.0,30.88938222941008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.451116291110155,1.4996687296424338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1133401697881275,0.0,0.0910038963995501
2,1,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7554626765869211,736.0411028696193,1823.3586481176364,5382.9004745375705,3157.763129680972,54.10253310348226,31.71995562015685,41737.12907003575,23307.93913122001,14940.120991052989,8343.253080205863,124.65807373252052,69.61482161116542,44.62230022937861,24.919151863467903,0.0,0.0,0.0434264686478737,0.0,0.0,0.6627160382854373,0.0,0.3293665577871911,185.70352814425345,24.078990906924474,107.69286759931076,0.0,0.0,0.0,0.0,4.320348050571788,0.0,0.0,4.072773047285827,343.9348984699293,55.42056193716618,0.9115896865301212,0.0,0.0,0.153455394985545,0.1102727652386647,0.0506748709052386,0.0,0.0,0.0,0.0,3.2360587233428317,0.0,5.319574208454637
3,4,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7573335636003582,69.23973706323493,162.09750500485796,631.6052065409259,382.7413044381863,6.31535208565307,3.9221911105482574,5767.235731323527,3265.5418868794586,2074.9607409969385,1174.8906285474382,20.884024471756003,11.825016326059584,7.513743656697796,4.254454955769703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749759861541798,6.5357896456120566,0.06999797561879,37.92583142658386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1488972778161722,19.8004822187322,4.000860706732496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207891097868858,0.0,0.4750107281162962
4,5,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7678452431472342,78.71097795559646,162.024197006308,710.318339583099,440.712711675613,7.092465522592907,4.298991755817288,5490.54423501641,3174.814284937235,1972.876658685664,1140.782540001841,19.36591958640394,11.198015262630374,6.95861267856367,4.023700017632814,0.0,0.0,0.0294329807801299,0.0,0.0,0.0,0.0,0.0346542092075282,7.460594895398942,1.0717873238083286,29.471841131632136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.87038340193725,3.3712251522058674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1039712996248523,0.0,0.2970875610014205
5,3,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7295478693909574,108.75429242683533,238.96193340881695,880.2523977636587,646.4550937105997,8.765555270515872,6.355433600031689,7300.631254160281,5098.29937507511,2617.4338589750314,1827.8503519690116,19.649057573490257,13.72165973875948,7.044611184888376,4.91951114242306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0370175418181402,19.17565028017192,3.696870712071563,20.56268238488741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1597597305003488,48.3347163726416,4.8215838085090725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702651540326949,0.0,11.79574644220258
6,5,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7394128278068717,266.2107996572179,657.9350087183017,2290.649130407282,1417.4375026239338,22.924953986162272,14.291949907546122,16519.6260038259,9890.282430980693,5930.664566680907,3550.6825368987984,59.697510590098666,35.740835780773494,21.431835726411748,12.83121714132654,0.0,0.0,0.0437754374152162,0.0,0.0,0.057977378854777,0.0,0.2670878510559775,36.12225337945532,3.982034506453612,80.99916392909807,0.0,0.0,0.0,0.0,0.5887174459998433,0.0,0.0,0.5213302751463814,125.26701645309171,17.211388911775753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7388401108121341,0.0,0.4112139780591037
7,1,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7040395388537599,60.266733271886146,291.4336590614563,561.8066904656841,310.3559641374418,5.698821860450013,3.357307370689305,3185.2580207560773,1491.1220618437633,1145.404704781716,536.2009023790952,20.836714440026626,9.754338391238758,7.492790410157882,3.507616969348611,0.0,0.0,0.0,0.0,0.0,0.3162827524833237,0.0,0.4137614771467314,3.090889137641029,0.0,33.999486280518035,0.0,0.0,0.0,0.0,0.8157066241734553,0.0,0.0,0.4863234503443898,9.904027401247244,8.771576360875407,0.0,0.0,0.0,0.0655814868879119,0.0519032375464712,0.0,0.0,0.0,0.0,0.0,1.2533200487897465,0.0,1.097875014232398
8,6,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7543439174941564,107.7775309703055,222.85933333106487,984.5237441491029,722.1620929406619,9.841672794961223,7.304935342636456,10438.206457660875,7519.148555428995,3756.283470616464,2705.8339520711943,30.381146155851003,21.88501943860153,10.93293158997159,7.875523166243328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479126566000047,9.874953956528223,0.3564646529807571,56.464117043902085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129866452041248,31.836961749315105,4.748619144070871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1522261435376487,0.0,4.16640917132957
9,4,sherpa_2025_a,900.0,hot,1.0,2.0,2.0,0.7219194736088408,133.95660887271256,610.301927394242,1253.8505965610748,863.1153124630308,12.590977943300551,9.120112026086469,4666.283297773081,3176.286623635967,1674.0550504502207,1139.5104678948378,30.332198716887145,20.64678693981042,10.881844760153678,7.407149490613742,0.0,0.0,0.0,0.0,0.0,0.1002647790578686,0.0,0.0840528140751298,8.415219609856974,0.1193398099942776,32.00101010766613,0.0,0.0,0.0,0.0,0.491756281763538,0.0,0.0,0.39310220093499,72.8406949537855,16.064759514488358,0.0553500432794631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057004154488285,0.0,2.3340546033220213
